time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,mvpa,vpa,met
11:15:00,2016-09-03,94,419,11:15:00,45,5,35,2016-09-03 11:15:00,a001,0,0,0
12:15:00,2016-09-03,102,814,12:15:00,49,5,35,2016-09-03 12:15:00,a001,0,0,0
12:30:00,2016-09-03,111,758,12:30:00,50,5,35,2016-09-03 12:30:00,a001,0,0,0
12:45:00,2016-09-03,103,416,12:45:00,51,5,35,2016-09-03 12:45:00,a001,0,0,0
13:00:00,2016-09-03,93,454,13:00:00,52,5,35,2016-09-03 13:00:00,a001,0,0,0
13:15:00,2016-09-03,94,168,13:15:00,53,5,35,2016-09-03 13:15:00,a001,0,0,0
14:00:00,2016-09-03,74,6,14:00:00,56,5,35,2016-09-03 14:00:00,a001,0,0,0
14:45:00,2016-09-03,74,48,14:45:00,59,5,35,2016-09-03 14:45:00,a001,0,0,0
15:00:00,2016-09-03,78,138,15:00:00,60,5,35,2016-09-03 15:00:00,a001,0,0,0
15:15:00,2016-09-03,83,169,15:15:00,61,5,35,2016-09-03 15:15:00,a001,0,0,0
16:15:00,2016-09-03,72,142,16:15:00,65,5,35,2016-09-03 16:15:00,a001,0,0,0
16:30:00,2016-09-03,70,102,16:30:00,66,5,35,2016-09-03 16:30:00,a001,0,0,0
17:15:00,2016-09-03,68,18,17:15:00,69,5,35,2016-09-03 17:15:00,a001,0,0,0
17:45:00,2016-09-03,83,591,17:45:00,71,5,35,2016-09-03 17:45:00,a001,0,0,0
18:00:00,2016-09-03,76,200,18:00:00,72,5,35,2016-09-03 18:00:00,a001,0,0,0
18:30:00,2016-09-03,85,7,18:30:00,74,5,35,2016-09-03 18:30:00,a001,0,0,0
19:00:00,2016-09-03,81,35,19:00:00,76,5,35,2016-09-03 19:00:00,a001,0,0,0
19:15:00,2016-09-03,76,24,19:15:00,77,5,35,2016-09-03 19:15:00,a001,0,0,0
19:30:00,2016-09-03,76,147,19:30:00,78,5,35,2016-09-03 19:30:00,a001,0,0,0
20:45:00,2016-09-03,71,7,20:45:00,83,5,35,2016-09-03 20:45:00,a001,0,0,0
23:15:00,2016-09-03,67,19,23:15:00,93,5,35,2016-09-03 23:15:00,a001,0,0,0
00:30:00,2016-09-04,88,284,00:30:00,2,6,35,2016-09-04 00:30:00,a001,0,0,0
00:45:00,2016-09-04,73,52,00:45:00,3,6,35,2016-09-04 00:45:00,a001,0,0,0
01:30:00,2016-09-04,67,15,01:30:00,6,6,35,2016-09-04 01:30:00,a001,0,0,0
02:45:00,2016-09-04,57,8,02:45:00,11,6,35,2016-09-04 02:45:00,a001,0,0,0
03:15:00,2016-09-04,57,10,03:15:00,13,6,35,2016-09-04 03:15:00,a001,0,0,0
09:00:00,2016-09-04,61,8,09:00:00,36,6,35,2016-09-04 09:00:00,a001,0,0,0
09:45:00,2016-09-04,74,71,09:45:00,39,6,35,2016-09-04 09:45:00,a001,0,0,0
10:00:00,2016-09-04,83,65,10:00:00,40,6,35,2016-09-04 10:00:00,a001,0,0,0
10:15:00,2016-09-04,83,264,10:15:00,41,6,35,2016-09-04 10:15:00,a001,0,0,0
10:30:00,2016-09-04,87,78,10:30:00,42,6,35,2016-09-04 10:30:00,a001,0,0,0
11:00:00,2016-09-04,92,88,11:00:00,44,6,35,2016-09-04 11:00:00,a001,0,0,0
13:45:00,2016-09-04,61,8,13:45:00,55,6,35,2016-09-04 13:45:00,a001,0,0,0
15:00:00,2016-09-04,81,60,15:00:00,60,6,35,2016-09-04 15:00:00,a001,0,0,0
15:45:00,2016-09-04,98,753,15:45:00,63,6,35,2016-09-04 15:45:00,a001,0,0,0
16:00:00,2016-09-04,84,51,16:00:00,64,6,35,2016-09-04 16:00:00,a001,0,0,0
16:45:00,2016-09-04,89,94,16:45:00,67,6,35,2016-09-04 16:45:00,a001,0,0,0
17:30:00,2016-09-04,71,8,17:30:00,70,6,35,2016-09-04 17:30:00,a001,0,0,0
17:45:00,2016-09-04,79,6,17:45:00,71,6,35,2016-09-04 17:45:00,a001,0,0,0
19:00:00,2016-09-04,77,5,19:00:00,76,6,35,2016-09-04 19:00:00,a001,0,0,0
19:30:00,2016-09-04,72,13,19:30:00,78,6,35,2016-09-04 19:30:00,a001,0,0,0
19:45:00,2016-09-04,79,50,19:45:00,79,6,35,2016-09-04 19:45:00,a001,0,0,0
21:00:00,2016-09-04,88,117,21:00:00,84,6,35,2016-09-04 21:00:00,a001,0,0,0
22:15:00,2016-09-04,70,15,22:15:00,89,6,35,2016-09-04 22:15:00,a001,0,0,0
22:30:00,2016-09-04,71,6,22:30:00,90,6,35,2016-09-04 22:30:00,a001,0,0,0
23:15:00,2016-09-04,71,27,23:15:00,93,6,35,2016-09-04 23:15:00,a001,0,0,0
23:30:00,2016-09-04,88,457,23:30:00,94,6,35,2016-09-04 23:30:00,a001,0,0,0
23:45:00,2016-09-04,75,131,23:45:00,95,6,35,2016-09-04 23:45:00,a001,0,0,0
00:15:00,2016-09-05,72,37,00:15:00,1,0,36,2016-09-05 00:15:00,a001,0,0,0
