,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong
142,11:30:00,2016-08-30,77,9,11:30:00,46,1,35,2016-08-30 11:30:00,a001,False,0,0
143,11:45:00,2016-08-30,80,56,11:45:00,47,1,35,2016-08-30 11:45:00,a001,False,0,0
144,12:00:00,2016-08-30,72,0,12:00:00,48,1,35,2016-08-30 12:00:00,a001,True,0,0
145,12:15:00,2016-08-30,76,19,12:15:00,49,1,35,2016-08-30 12:15:00,a001,False,0,0
146,12:30:00,2016-08-30,76,0,12:30:00,50,1,35,2016-08-30 12:30:00,a001,True,1,0
147,12:45:00,2016-08-30,74,0,12:45:00,51,1,35,2016-08-30 12:45:00,a001,True,0,0
148,13:00:00,2016-08-30,73,6,13:00:00,52,1,35,2016-08-30 13:00:00,a001,False,0,0
149,13:15:00,2016-08-30,68,0,13:15:00,53,1,35,2016-08-30 13:15:00,a001,True,1,0
150,13:30:00,2016-08-30,70,0,13:30:00,54,1,35,2016-08-30 13:30:00,a001,True,0,0
151,13:45:00,2016-08-30,71,83,13:45:00,55,1,35,2016-08-30 13:45:00,a001,False,0,0
152,14:00:00,2016-08-30,68,38,14:00:00,56,1,35,2016-08-30 14:00:00,a001,False,0,0
153,14:15:00,2016-08-30,64,0,14:15:00,57,1,35,2016-08-30 14:15:00,a001,True,1,0
154,14:30:00,2016-08-30,67,0,14:30:00,58,1,35,2016-08-30 14:30:00,a001,True,0,0
155,14:45:00,2016-08-30,67,35,14:45:00,59,1,35,2016-08-30 14:45:00,a001,False,0,0
156,15:00:00,2016-08-30,100,909,15:00:00,60,1,35,2016-08-30 15:00:00,a001,False,0,0
157,15:15:00,2016-08-30,71,0,15:15:00,61,1,35,2016-08-30 15:15:00,a001,True,1,0
158,15:30:00,2016-08-30,75,0,15:30:00,62,1,35,2016-08-30 15:30:00,a001,True,0,0
159,15:45:00,2016-08-30,76,42,15:45:00,63,1,35,2016-08-30 15:45:00,a001,False,0,0
160,16:00:00,2016-08-30,77,0,16:00:00,64,1,35,2016-08-30 16:00:00,a001,True,1,0
161,16:15:00,2016-08-30,76,0,16:15:00,65,1,35,2016-08-30 16:15:00,a001,True,0,0
162,16:30:00,2016-08-30,78,83,16:30:00,66,1,35,2016-08-30 16:30:00,a001,False,0,0
163,16:45:00,2016-08-30,68,0,16:45:00,67,1,35,2016-08-30 16:45:00,a001,True,1,0
