,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong,1,2,3,4,5,6,7
787,04:45:00,2016-11-15,57,0,04:45:00,19,1,46,2016-11-15 04:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,05:00:00,2016-11-15,54,6,05:00:00,20,1,46,2016-11-15 05:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,05:15:00,2016-11-15,53,0,05:15:00,21,1,46,2016-11-15 05:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,05:30:00,2016-11-15,53,0,05:30:00,22,1,46,2016-11-15 05:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,05:45:00,2016-11-15,59,0,05:45:00,23,1,46,2016-11-15 05:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,06:00:00,2016-11-15,57,0,06:00:00,24,1,46,2016-11-15 06:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,06:15:00,2016-11-15,54,0,06:15:00,25,1,46,2016-11-15 06:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
794,06:30:00,2016-11-15,54,0,06:30:00,26,1,46,2016-11-15 06:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,06:45:00,2016-11-15,55,0,06:45:00,27,1,46,2016-11-15 06:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,07:00:00,2016-11-15,65,0,07:00:00,28,1,46,2016-11-15 07:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
797,07:15:00,2016-11-15,61,0,07:15:00,29,1,46,2016-11-15 07:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798,07:30:00,2016-11-15,59,8,07:30:00,30,1,46,2016-11-15 07:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799,07:45:00,2016-11-15,56,9,07:45:00,31,1,46,2016-11-15 07:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,08:00:00,2016-11-15,59,0,08:00:00,32,1,46,2016-11-15 08:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,08:15:00,2016-11-15,68,7,08:15:00,33,1,46,2016-11-15 08:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,08:30:00,2016-11-15,80,117,08:30:00,34,1,46,2016-11-15 08:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
803,08:45:00,2016-11-15,75,102,08:45:00,35,1,46,2016-11-15 08:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
804,09:00:00,2016-11-15,70,26,09:00:00,36,1,46,2016-11-15 09:00:00,a001,False,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
805,09:15:00,2016-11-15,85,84,09:15:00,37,1,46,2016-11-15 09:15:00,a001,False,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
806,09:30:00,2016-11-15,71,16,09:30:00,38,1,46,2016-11-15 09:30:00,a001,False,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
807,09:45:00,2016-11-15,71,6,09:45:00,39,1,46,2016-11-15 09:45:00,a001,False,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
808,10:00:00,2016-11-15,68,0,10:00:00,40,1,46,2016-11-15 10:00:00,a001,True,6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
809,10:15:00,2016-11-15,68,0,10:15:00,41,1,46,2016-11-15 10:15:00,a001,True,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
810,10:30:00,2016-11-15,67,0,10:30:00,42,1,46,2016-11-15 10:30:00,a001,True,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
811,10:45:00,2016-11-15,69,0,10:45:00,43,1,46,2016-11-15 10:45:00,a001,True,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
812,11:00:00,2016-11-15,69,0,11:00:00,44,1,46,2016-11-15 11:00:00,a001,True,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
813,11:15:00,2016-11-15,65,0,11:15:00,45,1,46,2016-11-15 11:15:00,a001,True,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
814,11:30:00,2016-11-15,66,0,11:30:00,46,1,46,2016-11-15 11:30:00,a001,True,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
815,11:45:00,2016-11-15,71,71,11:45:00,47,1,46,2016-11-15 11:45:00,a001,False,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
816,12:00:00,2016-11-15,76,341,12:00:00,48,1,46,2016-11-15 12:00:00,a001,False,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
817,12:15:00,2016-11-15,106,1308,12:15:00,49,1,46,2016-11-15 12:15:00,a001,False,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
818,12:30:00,2016-11-15,77,44,12:30:00,50,1,46,2016-11-15 12:30:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
819,12:45:00,2016-11-15,81,46,12:45:00,51,1,46,2016-11-15 12:45:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820,13:00:00,2016-11-15,92,504,13:00:00,52,1,46,2016-11-15 13:00:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821,13:15:00,2016-11-15,84,272,13:15:00,53,1,46,2016-11-15 13:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822,13:30:00,2016-11-15,69,0,13:30:00,54,1,46,2016-11-15 13:30:00,a001,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823,13:45:00,2016-11-15,69,8,13:45:00,55,1,46,2016-11-15 13:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,14:00:00,2016-11-15,77,172,14:00:00,56,1,46,2016-11-15 14:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825,14:15:00,2016-11-15,69,0,14:15:00,57,1,46,2016-11-15 14:15:00,a001,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,14:30:00,2016-11-15,70,0,14:30:00,58,1,46,2016-11-15 14:30:00,a001,True,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
827,14:45:00,2016-11-15,74,125,14:45:00,59,1,46,2016-11-15 14:45:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828,15:00:00,2016-11-15,85,376,15:00:00,60,1,46,2016-11-15 15:00:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
829,15:15:00,2016-11-15,66,0,15:15:00,61,1,46,2016-11-15 15:15:00,a001,True,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
830,15:30:00,2016-11-15,87,752,15:30:00,62,1,46,2016-11-15 15:30:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
831,15:45:00,2016-11-15,93,958,15:45:00,63,1,46,2016-11-15 15:45:00,a001,False,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
832,16:00:00,2016-11-15,89,475,16:00:00,64,1,46,2016-11-15 16:00:00,a001,False,0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
833,16:15:00,2016-11-15,69,0,16:15:00,65,1,46,2016-11-15 16:15:00,a001,True,2,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
834,16:30:00,2016-11-15,69,0,16:30:00,66,1,46,2016-11-15 16:30:00,a001,True,0,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
835,16:45:00,2016-11-15,68,0,16:45:00,67,1,46,2016-11-15 16:45:00,a001,True,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
836,17:00:00,2016-11-15,68,15,17:00:00,68,1,46,2016-11-15 17:00:00,a001,False,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
837,17:15:00,2016-11-15,66,69,17:15:00,69,1,46,2016-11-15 17:15:00,a001,False,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
838,17:30:00,2016-11-15,102,817,17:30:00,70,1,46,2016-11-15 17:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
839,17:45:00,2016-11-15,81,0,17:45:00,71,1,46,2016-11-15 17:45:00,a001,True,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,18:00:00,2016-11-15,89,0,18:00:00,72,1,46,2016-11-15 18:00:00,a001,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
